order_item_id,order_id,product_id,quantity,unit_price,discount_pct,discount_amount,revenue
OI000033,O00013,P005,1,4069.51,0,0.0,4069.51
OI000034,O00014,P013,4,1344.44,5,268.88800000000003,5108.872
OI000035,O00014,P011,2,4398.18,0,0.0,8796.36
OI000036,O00015,P024,3,1610.89,20,966.5340000000001,3866.136
OI000037,O00015,P019,1,410.22,0,0.0,410.22
OI000038,O00015,P005,2,4069.51,20,1627.804,6511.216
OI000039,O00016,P022,1,4361.46,0,0.0,4361.46
OI000040,O00017,P022,4,4361.46,5,872.292,16573.548
OI000041,O00017,P020,4,1206.71,5,241.342,4585.4980000000005
OI000042,O00017,P009,2,3999.66,20,1599.864,6399.456
OI000043,O00017,P017,1,4037.12,0,0.0,4037.12
OI000044,O00018,P004,3,4673.83,15,2103.2235,11918.2665
OI000045,O00018,P022,4,4361.46,10,1744.584,15701.256
OI000046,O00018,P022,3,4361.46,0,0.0,13084.380000000001
OI000047,O00018,P008,4,1552.99,10,621.196,5590.764
OI000048,O00019,P001,2,415.5,0,0.0,831.0
OI000049,O00020,P025,2,3313.96,20,1325.584,5302.336
OI000050,O00020,P009,3,3999.66,0,0.0,11998.98
OI000052,O00022,P006,2,4360.1,5,436.01000000000005,8284.19
OI000053,O00022,P018,2,1368.7,10,273.74,2463.66
OI000054,O00022,P018,3,1368.7,0,0.0,4106.1
OI000055,O00022,P013,1,1344.44,5,67.22200000000001,1277.218
OI000056,O00023,P015,1,2462.43,20,492.486,1969.944
OI000057,O00024,P019,4,410.22,10,164.08800000000002,1476.7920000000001
OI000058,O00024,P013,4,1344.44,0,0.0,5377.76
OI000059,O00024,P004,4,4673.83,0,0.0,18695.32
OI000060,O00025,P006,4,4360.1,20,3488.0800000000004,13952.320000000002
OI000061,O00025,P023,3,4843.38,0,0.0,14530.14
OI000062,O00025,P014,1,4136.96,0,0.0,4136.96
OI000063,O00026,P019,4,410.22,10,164.08800000000002,1476.7920000000001
OI000064,O00026,P003,4,1860.27,20,1488.2160000000001,5952.864
OI000065,O00026,P010,3,807.05,0,0.0,2421.1499999999996
OI000066,O00026,P011,2,4398.18,0,0.0,8796.36
OI000067,O00027,P017,2,4037.12,20,1614.848,6459.392
OI000068,O00028,P012,2,4334.39,0,0.0,8668.78
OI000069,O00028,P004,2,4673.83,0,0.0,9347.66
OI000070,O00028,P007,2,4109.52,10,821.9040000000001,7397.136
OI000071,O00029,P025,1,3313.96,0,0.0,3313.96
OI000072,O00029,P025,4,3313.96,5,662.792,12593.048
OI000073,O00030,P022,3,4361.46,20,2616.876,10467.504
OI000074,O00030,P021,3,1841.83,0,0.0,5525.49
OI000075,O00030,P015,1,2462.43,5,123.1215,2339.3084999999996
OI000076,O00030,P015,3,2462.43,20,1477.4579999999999,5909.831999999999
OI000077,O00031,P019,1,410.22,0,0.0,410.22
OI000078,O00031,P017,1,4037.12,0,0.0,4037.12
OI000079,O00031,P015,4,2462.43,0,0.0,9849.72
OI000080,O00032,P012,3,4334.39,0,0.0,13003.170000000002
OI000081,O00033,P020,4,1206.71,5,241.342,4585.4980000000005
OI000082,O00034,P015,2,2462.43,0,0.0,4924.86
OI000083,O00035,P017,2,4037.12,0,0.0,8074.24
OI000084,O00035,P015,1,2462.43,20,492.486,1969.944
OI000085,O00035,P011,1,4398.18,10,439.81800000000004,3958.362
OI000086,O00035,P021,2,1841.83,0,0.0,3683.66
OI000087,O00036,P023,4,4843.38,5,968.676,18404.844
OI000088,O00036,P017,2,4037.12,0,0.0,8074.24
OI000089,O00037,P010,4,807.05,5,161.41,3066.79
OI000090,O00037,P025,3,3313.96,15,1491.2820000000002,8450.598000000002
OI000091,O00037,P020,1,1206.71,20,241.342,965.368
OI000092,O00038,P003,3,1860.27,0,0.0,5580.8099999999995
OI000093,O00038,P018,4,1368.7,0,0.0,5474.8
OI000094,O00038,P009,2,3999.66,0,0.0,7999.32
OI000095,O00039,P019,2,410.22,0,0.0,820.44
OI000096,O00040,P021,4,1841.83,0,0.0,7367.32
OI000097,O00040,P020,1,1206.71,0,0.0,1206.71
OI000098,O00040,P018,4,1368.7,15,821.22,4653.58
OI000099,O00041,P005,1,4069.51,15,610.4265,3459.0835
OI000100,O00041,P022,4,4361.46,10,1744.584,15701.256
OI000101,O00041,P012,1,4334.39,0,0.0,4334.39
OI000102,O00042,P006,2,4360.1,0,0.0,8720.2
OI000103,O00042,P025,4,3313.96,0,0.0,13255.84
OI000104,O00042,P008,2,1552.99,0,0.0,3105.98
OI000105,O00043,P010,1,807.05,10,80.705,726.3449999999999
OI000106,O00044,P022,3,4361.46,20,2616.876,10467.504
OI000107,O00045,P020,4,1206.71,0,0.0,4826.84
OI000108,O00045,P006,2,4360.1,20,1744.0400000000002,6976.160000000001
OI000109,O00046,P024,4,1610.89,0,0.0,6443.56
OI000110,O00046,P014,3,4136.96,15,1861.632,10549.248000000001
OI000111,O00047,P015,3,2462.43,20,1477.4579999999999,5909.831999999999
OI000112,O00047,P024,4,1610.89,0,0.0,6443.56
OI000113,O00048,P010,4,807.05,20,645.64,2582.56
OI000114,O00048,P007,3,4109.52,15,1849.284,10479.276000000002
OI000115,O00049,P015,3,2462.43,20,1477.4579999999999,5909.831999999999
OI000116,O00049,P013,4,1344.44,0,0.0,5377.76
OI000117,O00049,P007,2,4109.52,20,1643.8080000000002,6575.232000000001
OI000118,O00049,P009,1,3999.66,15,599.949,3399.711
OI000119,O00050,P012,1,4334.39,15,650.1585,3684.2315000000003
OI000120,O00050,P017,1,4037.12,0,0.0,4037.12
OI000121,O00050,P003,2,1860.27,0,0.0,3720.54
OI000122,O00050,P015,2,2462.43,20,984.972,3939.888
OI000123,O00051,P003,2,1860.27,20,744.1080000000001,2976.432
OI000124,O00051,P015,3,2462.43,0,0.0,7387.289999999999
OI000125,O00051,P014,1,4136.96,5,206.848,3930.112
OI000126,O00051,P017,3,4037.12,0,0.0,12111.36
OI000127,O00052,P003,3,1860.27,0,0.0,5580.8099999999995
OI000128,O00052,P001,3,415.5,0,0.0,1246.5
OI000129,O00052,P023,3,4843.38,20,2906.0280000000002,11624.112
OI000130,O00052,P005,2,4069.51,0,0.0,8139.02
OI000131,O00053,P016,2,1733.4,20,693.3600000000001,2773.44
OI000132,O00053,P023,4,4843.38,5,968.676,18404.844
OI000133,O00053,P020,1,1206.71,0,0.0,1206.71
OI000134,O00054,P009,2,3999.66,20,1599.864,6399.456
OI000135,O00055,P018,4,1368.7,0,0.0,5474.8
OI000136,O00055,P025,3,3313.96,0,0.0,9941.880000000001
OI000137,O00056,P004,1,4673.83,0,0.0,4673.83
OI000138,O00056,P014,4,4136.96,0,0.0,16547.84
OI000139,O00056,P004,4,4673.83,10,1869.5320000000002,16825.788
OI000140,O00057,P021,2,1841.83,15,552.549,3131.111
OI000141,O00058,P010,4,807.05,0,0.0,3228.2
OI000142,O00058,P020,3,1206.71,0,0.0,3620.13
OI000143,O00059,P006,1,4360.1,10,436.01000000000005,3924.09
OI000144,O00059,P012,1,4334.39,10,433.4390000000001,3900.951
OI000145,O00059,P018,1,1368.7,5,68.435,1300.265
OI000146,O00059,P016,1,1733.4,15,260.01,1473.39
OI000147,O00060,P012,3,4334.39,15,1950.4755000000002,11052.694500000001
OI000148,O00060,P001,3,415.5,20,249.3,997.2
OI000149,O00060,P003,3,1860.27,0,0.0,5580.8099999999995
OI000150,O00060,P024,1,1610.89,20,322.17800000000005,1288.712
OI000152,O00061,P018,3,1368.7,20,821.2200000000001,3284.88
OI000153,O00061,P021,2,1841.83,20,736.732,2946.928
OI000154,O00062,P023,4,4843.38,15,2906.028,16467.492000000002
OI000155,O00062,P006,2,4360.1,0,0.0,8720.2
OI000156,O00062,P023,4,4843.38,0,0.0,19373.52
OI000157,O00062,P010,2,807.05,0,0.0,1614.1
OI000158,O00063,P002,3,3760.85,0,0.0,11282.55
OI000159,O00063,P017,4,4037.12,20,3229.696,12918.784
OI000160,O00064,P009,1,3999.66,20,799.932,3199.728
OI000161,O00064,P021,2,1841.83,0,0.0,3683.66
OI000162,O00064,P012,1,4334.39,20,866.8780000000002,3467.512
OI000163,O00064,P021,3,1841.83,0,0.0,5525.49
OI000164,O00065,P012,4,4334.39,5,866.8780000000002,16470.682
OI000165,O00066,P013,3,1344.44,0,0.0,4033.32
OI000166,O00066,P016,4,1733.4,0,0.0,6933.6
OI000167,O00066,P017,3,4037.12,20,2422.2720000000004,9689.088
OI000168,O00066,P003,4,1860.27,0,0.0,7441.08
OI000169,O00067,P020,2,1206.71,10,241.342,2172.078
OI000170,O00067,P010,3,807.05,0,0.0,2421.1499999999996
OI000171,O00067,P003,3,1860.27,15,837.1214999999999,4743.688499999999
OI000172,O00067,P010,3,807.05,5,121.05749999999999,2300.0924999999997
OI000173,O00068,P006,4,4360.1,0,0.0,17440.4
OI000174,O00068,P015,1,2462.43,15,369.36449999999996,2093.0654999999997
OI000175,O00068,P012,4,4334.39,0,0.0,17337.56
OI000176,O00068,P021,1,1841.83,0,0.0,1841.83
OI000177,O00069,P012,2,4334.39,0,0.0,8668.78
OI000178,O00069,P005,4,4069.51,0,0.0,16278.04
OI000179,O00069,P005,1,4069.51,0,0.0,4069.51
OI000180,O00069,P025,3,3313.96,0,0.0,9941.880000000001
OI000181,O00070,P019,1,410.22,10,41.022000000000006,369.19800000000004
OI000182,O00070,P005,4,4069.51,0,0.0,16278.04
OI000183,O00070,P012,4,4334.39,20,3467.5120000000006,13870.048
OI000184,O00070,P003,2,1860.27,10,372.05400000000003,3348.486
OI000185,O00071,P013,3,1344.44,15,604.998,3428.322
OI000186,O00071,P009,2,3999.66,0,0.0,7999.32
OI000187,O00071,P001,2,415.5,5,41.550000000000004,789.45
OI000188,O00072,P018,1,1368.7,0,0.0,1368.7
OI000189,O00072,P025,3,3313.96,15,1491.2820000000002,8450.598000000002
OI000190,O00072,P015,2,2462.43,10,492.486,4432.374
OI000191,O00072,P010,4,807.05,0,0.0,3228.2
OI000192,O00073,P005,1,4069.51,5,203.4755,3866.0345
OI000193,O00074,P023,4,4843.38,0,0.0,19373.52
OI000194,O00074,P022,3,4361.46,15,1962.6570000000002,11121.723000000002
OI000195,O00075,P023,1,4843.38,10,484.338,4359.042
OI000196,O00075,P018,3,1368.7,0,0.0,4106.1
OI000197,O00075,P006,2,4360.1,20,1744.0400000000002,6976.160000000001
OI000198,O00076,P017,2,4037.12,0,0.0,8074.24
OI000199,O00076,P007,2,4109.52,0,0.0,8219.04
OI000200,O00076,P016,1,1733.4,0,0.0,1733.4
OI000201,O00077,P015,2,2462.43,10,492.486,4432.374
OI000202,O00077,P003,1,1860.27,0,0.0,1860.27
OI000203,O00077,P013,4,1344.44,10,537.7760000000001,4839.984
OI000204,O00078,P025,4,3313.96,20,2651.168,10604.672
OI000205,O00078,P019,1,410.22,0,0.0,410.22
OI000206,O00078,P011,1,4398.18,5,219.90900000000002,4178.271000000001
OI000207,O00078,P015,3,2462.43,0,0.0,7387.289999999999
OI000208,O00079,P025,2,3313.96,5,331.396,6296.524
OI000209,O00079,P017,1,4037.12,20,807.424,3229.696
OI000210,O00080,P017,2,4037.12,0,0.0,8074.24
OI000211,O00081,P006,3,4360.1,15,1962.045,11118.255000000001
OI000212,O00081,P008,3,1552.99,10,465.89700000000005,4193.073
OI000213,O00082,P003,3,1860.27,0,0.0,5580.8099999999995
OI000214,O00082,P021,3,1841.83,0,0.0,5525.49
OI000215,O00082,P021,3,1841.83,10,552.549,4972.941
OI000216,O00083,P017,2,4037.12,10,807.424,7266.816
OI000217,O00084,P006,3,4360.1,20,2616.0600000000004,10464.240000000002
OI000218,O00084,P019,1,410.22,20,82.04400000000001,328.17600000000004
OI000219,O00085,P003,1,1860.27,15,279.0405,1581.2295
OI000220,O00086,P021,2,1841.83,20,736.732,2946.928
OI000221,O00086,P019,4,410.22,10,164.08800000000002,1476.7920000000001
OI000222,O00086,P021,1,1841.83,5,92.0915,1749.7385
OI000223,O00087,P021,3,1841.83,5,276.2745,5249.2155
OI000224,O00087,P008,4,1552.99,0,0.0,6211.96
OI000225,O00087,P015,1,2462.43,15,369.36449999999996,2093.0654999999997
OI000226,O00088,P006,4,4360.1,5,872.0200000000001,16568.38
OI000227,O00089,P015,2,2462.43,0,0.0,4924.86
OI000228,O00089,P020,2,1206.71,0,0.0,2413.42
OI000229,O00089,P023,3,4843.38,15,2179.5209999999997,12350.618999999999
OI000230,O00089,P012,4,4334.39,0,0.0,17337.56
OI000231,O00090,P017,1,4037.12,0,0.0,4037.12
OI000232,O00090,P008,4,1552.99,0,0.0,6211.96
OI000233,O00090,P009,4,3999.66,0,0.0,15998.64
OI000234,O00091,P004,1,4673.83,0,0.0,4673.83
OI000235,O00091,P013,4,1344.44,0,0.0,5377.76
OI000236,O00092,P011,3,4398.18,0,0.0,13194.54
OI000237,O00092,P025,2,3313.96,5,331.396,6296.524
OI000238,O00093,P016,3,1733.4,5,260.01000000000005,4940.1900000000005
OI000239,O00093,P001,1,415.5,5,20.775000000000002,394.725
OI000240,O00093,P017,4,4037.12,0,0.0,16148.48
OI000241,O00093,P007,3,4109.52,0,0.0,12328.560000000001
OI000242,O00094,P010,4,807.05,10,322.82,2905.3799999999997
OI000243,O00095,P010,1,807.05,20,161.41,645.64
OI000244,O00095,P004,4,4673.83,0,0.0,18695.32
OI000245,O00095,P009,3,3999.66,20,2399.796,9599.184
OI000246,O00095,P013,3,1344.44,0,0.0,4033.32
OI000247,O00096,P002,2,3760.85,0,0.0,7521.7
OI000248,O00096,P018,3,1368.7,0,0.0,4106.1
OI000249,O00096,P013,4,1344.44,20,1075.5520000000001,4302.2080000000005
OI000250,O00096,P018,3,1368.7,20,821.2200000000001,3284.88
OI000251,O00097,P005,1,4069.51,5,203.4755,3866.0345
OI000252,O00098,P011,3,4398.18,20,2638.9080000000004,10555.632000000001
OI000253,O00098,P005,2,4069.51,10,813.902,7325.118
OI000254,O00098,P017,4,4037.12,10,1614.848,14533.632
OI000255,O00099,P002,1,3760.85,0,0.0,3760.85
OI000256,O00100,P016,4,1733.4,0,0.0,6933.6
OI000257,O00100,P020,2,1206.71,0,0.0,2413.42
OI000258,O00100,P020,3,1206.71,0,0.0,3620.13
OI000259,O00101,P020,3,1206.71,10,362.01300000000003,3258.117
OI000260,O00101,P011,4,4398.18,15,2638.908,14953.812000000002
OI000261,O00101,P019,3,410.22,5,61.53300000000001,1169.1270000000002
OI000262,O00101,P001,3,415.5,0,0.0,1246.5
OI000263,O00102,P014,3,4136.96,20,2482.1760000000004,9928.704000000002
OI000264,O00103,P020,4,1206.71,0,0.0,4826.84
OI000265,O00104,P024,1,1610.89,10,161.08900000000003,1449.8010000000002
OI000266,O00104,P016,2,1733.4,10,346.68000000000006,3120.12
OI000267,O00105,P005,2,4069.51,0,0.0,8139.02
OI000268,O00105,P019,1,410.22,0,0.0,410.22
OI000269,O00105,P001,4,415.5,0,0.0,1662.0
OI000270,O00105,P014,2,4136.96,5,413.696,7860.224
OI000271,O00106,P014,4,4136.96,20,3309.568,13238.272
OI000272,O00106,P024,1,1610.89,15,241.6335,1369.2565000000002
OI000273,O00107,P017,2,4037.12,10,807.424,7266.816
OI000274,O00107,P011,4,4398.18,10,1759.2720000000002,15833.448
OI000275,O00108,P011,2,4398.18,5,439.81800000000004,8356.542000000001
OI000276,O00108,P018,3,1368.7,10,410.61000000000007,3695.4900000000002
OI000277,O00108,P012,3,4334.39,10,1300.3170000000002,11702.853000000001
OI000278,O00108,P016,2,1733.4,0,0.0,3466.8
OI000279,O00109,P018,3,1368.7,0,0.0,4106.1
OI000280,O00109,P010,3,807.05,15,363.17249999999996,2057.9774999999995
OI000281,O00109,P007,4,4109.52,0,0.0,16438.08
OI000282,O00110,P012,3,4334.39,0,0.0,13003.170000000002
OI000283,O00110,P004,4,4673.83,5,934.7660000000001,17760.554
OI000284,O00110,P012,2,4334.39,0,0.0,8668.78
OI000285,O00110,P002,3,3760.85,15,1692.3825,9590.1675
OI000286,O00111,P012,4,4334.39,15,2600.634,14736.926000000001
OI000287,O00112,P024,4,1610.89,0,0.0,6443.56
OI000288,O00112,P007,3,4109.52,10,1232.8560000000002,11095.704000000002
OI000289,O00112,P023,3,4843.38,0,0.0,14530.14
OI000290,O00113,P020,2,1206.71,0,0.0,2413.42
OI000291,O00114,P022,2,4361.46,15,1308.4379999999999,7414.482
OI000292,O00115,P002,1,3760.85,5,188.04250000000002,3572.8075
OI000293,O00115,P011,4,4398.18,0,0.0,17592.72
OI000294,O00116,P001,2,415.5,5,41.550000000000004,789.45
OI000295,O00116,P021,4,1841.83,5,368.366,6998.954
OI000296,O00117,P025,3,3313.96,0,0.0,9941.880000000001
OI000297,O00117,P010,1,807.05,20,161.41,645.64
OI000298,O00118,P021,2,1841.83,10,368.366,3315.294
OI000299,O00119,P006,4,4360.1,20,3488.0800000000004,13952.320000000002
OI000300,O00120,P002,4,3760.85,20,3008.6800000000003,12034.72
OI000301,O00120,P016,2,1733.4,15,520.02,2946.78
OI000302,O00121,P002,1,3760.85,0,0.0,3760.85
OI000303,O00121,P019,1,410.22,0,0.0,410.22
OI000304,O00121,P010,4,807.05,15,484.22999999999996,2743.97
OI000305,O00122,P005,4,4069.51,0,0.0,16278.04
OI000306,O00122,P007,1,4109.52,0,0.0,4109.52
OI000307,O00122,P006,4,4360.1,15,2616.06,14824.340000000002
OI000308,O00122,P009,2,3999.66,0,0.0,7999.32
OI000309,O00123,P010,2,807.05,0,0.0,1614.1
OI000310,O00123,P020,4,1206.71,20,965.368,3861.472
OI000311,O00123,P014,3,4136.96,0,0.0,12410.880000000001
OI000312,O00124,P022,1,4361.46,0,0.0,4361.46
OI000313,O00124,P005,4,4069.51,0,0.0,16278.04
OI000314,O00124,P008,1,1552.99,0,0.0,1552.99
OI000315,O00124,P013,2,1344.44,5,134.44400000000002,2554.436
OI000316,O00125,P011,3,4398.18,10,1319.4540000000002,11875.086000000001
OI000317,O00125,P024,1,1610.89,0,0.0,1610.89
OI000318,O00125,P021,3,1841.83,15,828.8235,4696.666499999999
OI000319,O00126,P002,1,3760.85,5,188.04250000000002,3572.8075
OI000320,O00126,P010,2,807.05,5,80.705,1533.395
OI000321,O00127,P023,1,4843.38,15,726.507,4116.8730000000005
OI000322,O00127,P010,3,807.05,10,242.11499999999998,2179.035
OI000323,O00127,P008,2,1552.99,0,0.0,3105.98
OI000324,O00128,P005,4,4069.51,15,2441.706,13836.334
OI000325,O00128,P020,3,1206.71,5,181.00650000000002,3439.1235
OI000326,O00128,P023,4,4843.38,20,3874.704,15498.816
OI000327,O00128,P018,2,1368.7,20,547.48,2189.92
OI000328,O00129,P022,1,4361.46,10,436.146,3925.314
OI000329,O00129,P015,3,2462.43,0,0.0,7387.289999999999
OI000330,O00130,P002,2,3760.85,10,752.1700000000001,6769.53
OI000331,O00131,P006,3,4360.1,20,2616.0600000000004,10464.240000000002
OI000332,O00131,P017,4,4037.12,0,0.0,16148.48
OI000333,O00132,P023,4,4843.38,0,0.0,19373.52
OI000334,O00132,P017,4,4037.12,20,3229.696,12918.784
OI000335,O00133,P015,2,2462.43,10,492.486,4432.374
OI000336,O00134,P015,1,2462.43,10,246.243,2216.187
OI000337,O00134,P015,3,2462.43,15,1108.0934999999997,6279.196499999999
OI000338,O00134,P001,4,415.5,0,0.0,1662.0
OI000339,O00134,P001,2,415.5,10,83.10000000000001,747.9
OI000340,O00135,P002,4,3760.85,0,0.0,15043.4
OI000341,O00136,P018,1,1368.7,0,0.0,1368.7
OI000342,O00137,P002,3,3760.85,5,564.1274999999999,10718.422499999999
OI000343,O00137,P006,2,4360.1,20,1744.0400000000002,6976.160000000001
OI000344,O00137,P021,4,1841.83,0,0.0,7367.32
OI000345,O00137,P013,4,1344.44,20,1075.5520000000001,4302.2080000000005
OI000346,O00138,P013,1,1344.44,15,201.666,1142.7740000000001
OI000347,O00138,P022,2,4361.46,15,1308.4379999999999,7414.482
OI000348,O00138,P012,1,4334.39,0,0.0,4334.39
OI000349,O00138,P018,4,1368.7,10,547.48,4927.32
OI000350,O00139,P024,2,1610.89,20,644.3560000000001,2577.424
OI000351,O00139,P001,1,415.5,0,0.0,415.5
OI000352,O00140,P022,4,4361.46,10,1744.584,15701.256
OI000353,O00140,P013,2,1344.44,0,0.0,2688.88
OI000354,O00140,P015,3,2462.43,0,0.0,7387.289999999999
OI000355,O00140,P009,2,3999.66,15,1199.898,6799.422
OI000356,O00141,P002,4,3760.85,10,1504.3400000000001,13539.06
OI000357,O00142,P008,2,1552.99,0,0.0,3105.98
OI000358,O00143,P020,1,1206.71,5,60.3355,1146.3745000000001
OI000359,O00144,P008,1,1552.99,5,77.6495,1475.3405
OI000360,O00145,P008,2,1552.99,20,621.196,2484.784
OI000361,O00145,P025,1,3313.96,0,0.0,3313.96
OI000362,O00145,P017,3,4037.12,0,0.0,12111.36
OI000363,O00145,P024,3,1610.89,10,483.26700000000005,4349.403
OI000364,O00146,P008,3,1552.99,0,0.0,4658.97
OI000365,O00146,P022,2,4361.46,5,436.146,8286.774
OI000366,O00146,P010,3,807.05,0,0.0,2421.1499999999996
OI000367,O00147,P021,4,1841.83,10,736.732,6630.588
OI000368,O00147,P016,1,1733.4,0,0.0,1733.4
OI000369,O00148,P017,3,4037.12,15,1816.704,10294.656
OI000370,O00148,P014,4,4136.96,0,0.0,16547.84
OI000371,O00148,P010,4,807.05,0,0.0,3228.2
OI000372,O00148,P025,4,3313.96,0,0.0,13255.84
OI000373,O00149,P010,2,807.05,20,322.82,1291.28
OI000374,O00149,P015,1,2462.43,10,246.243,2216.187
OI000375,O00150,P014,2,4136.96,5,413.696,7860.224
OI000376,O00150,P008,3,1552.99,0,0.0,4658.97
OI000377,O00150,P011,1,4398.18,5,219.90900000000002,4178.271000000001
OI000378,O00150,P012,1,4334.39,10,433.4390000000001,3900.951
OI000379,O00151,P002,3,3760.85,5,564.1274999999999,10718.422499999999
OI000380,O00151,P022,1,4361.46,20,872.292,3489.168
OI000381,O00152,P007,2,4109.52,5,410.95200000000006,7808.088000000001
OI000382,O00153,P011,3,4398.18,0,0.0,13194.54
OI000383,O00153,P007,2,4109.52,15,1232.856,6986.184000000001
OI000384,O00154,P024,4,1610.89,0,0.0,6443.56
OI000385,O00155,P013,2,1344.44,10,268.88800000000003,2419.992
OI000386,O00155,P011,3,4398.18,5,659.7270000000001,12534.813
OI000387,O00156,P018,3,1368.7,0,0.0,4106.1
OI000388,O00156,P009,3,3999.66,10,1199.898,10799.082
OI000389,O00156,P016,4,1733.4,0,0.0,6933.6
OI000390,O00156,P024,4,1610.89,20,1288.7120000000002,5154.848
OI000391,O00157,P007,3,4109.52,0,0.0,12328.560000000001
OI000392,O00157,P014,1,4136.96,10,413.696,3723.264
OI000393,O00157,P008,2,1552.99,0,0.0,3105.98
OI000394,O00158,P018,4,1368.7,0,0.0,5474.8
OI000395,O00158,P005,2,4069.51,0,0.0,8139.02
OI000396,O00158,P008,4,1552.99,10,621.196,5590.764
OI000397,O00159,P016,3,1733.4,0,0.0,5200.200000000001
OI000398,O00159,P025,4,3313.96,15,1988.376,11267.464
OI000399,O00160,P015,2,2462.43,15,738.7289999999999,4186.130999999999
OI000400,O00160,P012,2,4334.39,0,0.0,8668.78
OI000401,O00160,P024,4,1610.89,0,0.0,6443.56
OI000402,O00160,P018,1,1368.7,10,136.87,1231.83
OI000403,O00161,P003,1,1860.27,20,372.05400000000003,1488.216
OI000404,O00162,P014,2,4136.96,20,1654.784,6619.136
OI000405,O00163,P003,2,1860.27,0,0.0,3720.54
OI000406,O00163,P007,4,4109.52,0,0.0,16438.08
OI000407,O00164,P020,4,1206.71,15,724.026,4102.814
OI000408,O00165,P001,1,415.5,10,41.550000000000004,373.95
OI000409,O00165,P018,4,1368.7,0,0.0,5474.8
OI000410,O00165,P001,3,415.5,10,124.65,1121.85
OI000411,O00165,P010,1,807.05,10,80.705,726.3449999999999
OI000412,O00166,P006,1,4360.1,0,0.0,4360.1
OI000413,O00166,P017,2,4037.12,0,0.0,8074.24
OI000414,O00166,P007,3,4109.52,20,2465.7120000000004,9862.848000000002
OI000415,O00166,P012,3,4334.39,20,2600.6340000000005,10402.536000000002
OI000416,O00167,P003,3,1860.27,5,279.0405,5301.769499999999
OI000417,O00167,P015,2,2462.43,15,738.7289999999999,4186.130999999999
OI000418,O00167,P008,3,1552.99,15,698.8455,3960.1245000000004
OI000419,O00167,P003,1,1860.27,0,0.0,1860.27
OI000420,O00168,P013,4,1344.44,10,537.7760000000001,4839.984
OI000421,O00168,P016,1,1733.4,15,260.01,1473.39
OI000422,O00168,P001,2,415.5,0,0.0,831.0
OI000423,O00168,P016,4,1733.4,15,1040.04,5893.56
OI000424,O00169,P019,1,410.22,10,41.022000000000006,369.19800000000004
OI000425,O00169,P002,2,3760.85,0,0.0,7521.7
OI000426,O00169,P023,4,4843.38,0,0.0,19373.52
OI000427,O00170,P003,3,1860.27,10,558.081,5022.728999999999
OI000428,O00171,P006,3,4360.1,0,0.0,13080.300000000001
OI000429,O00172,P019,2,410.22,20,164.08800000000002,656.3520000000001
OI000430,O00172,P023,4,4843.38,0,0.0,19373.52
OI000431,O00173,P006,2,4360.1,10,872.0200000000001,7848.18
OI000432,O00173,P013,3,1344.44,5,201.66600000000003,3831.654
OI000433,O00173,P025,2,3313.96,20,1325.584,5302.336
OI000434,O00174,P017,3,4037.12,0,0.0,12111.36
OI000435,O00175,P014,2,4136.96,20,1654.784,6619.136
OI000436,O00176,P011,4,4398.18,20,3518.5440000000003,14074.176000000001
OI000437,O00177,P001,3,415.5,20,249.3,997.2
OI000438,O00177,P015,4,2462.43,0,0.0,9849.72
