order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI000199,O00076,P007,2,4109.52,0
OI000200,O00076,P016,1,1733.40,0
OI000201,O00077,P015,2,2462.43,10
OI000202,O00077,P003,1,1860.27,0
OI000203,O00077,P013,4,1344.44,10
OI000204,O00078,P025,4,3313.96,20
OI000205,O00078,P019,1,410.22,0
OI000206,O00078,P011,1,4398.18,5
OI000207,O00078,P015,3,2462.43,0
OI000208,O00079,P025,2,3313.96,5
OI000209,O00079,P017,1,4037.12,20
OI000210,O00080,P017,2,4037.12,0
OI000211,O00081,P006,3,4360.10,15
OI000212,O00081,P008,3,1552.99,10
OI000213,O00082,P003,3,1860.27,0
OI000214,O00082,P021,3,1841.83,0
OI000215,O00082,P021,3,1841.83,10
OI000216,O00083,P017,2,4037.12,10
OI000217,O00084,P006,3,4360.10,20
OI000218,O00084,P019,1,410.22,20
OI000219,O00085,P003,1,1860.27,15
OI000220,O00086,P021,2,1841.83,20
OI000221,O00086,P019,4,410.22,10
OI000222,O00086,P021,1,1841.83,5
OI000223,O00087,P021,3,1841.83,5
OI000224,O00087,P008,4,1552.99,0
OI000225,O00087,P015,1,2462.43,15
OI000226,O00088,P006,4,4360.10,5
OI000227,O00089,P015,2,2462.43,0
OI000228,O00089,P020,2,1206.71,0
OI000229,O00089,P023,3,4843.38,15
OI000230,O00089,P012,4,4334.39,0
OI000231,O00090,P017,1,4037.12,0
OI000232,O00090,P008,4,1552.99,0
OI000233,O00090,P009,4,3999.66,0
OI000234,O00091,P004,1,4673.83,0
OI000235,O00091,P013,4,1344.44,0
OI000236,O00092,P011,3,4398.18,0
OI000237,O00092,P025,2,3313.96,5
OI000238,O00093,P016,3,1733.40,5
OI000239,O00093,P001,1,415.50,5
OI000240,O00093,P017,4,4037.12,0
OI000241,O00093,P007,3,4109.52,0
OI000242,O00094,P010,4,807.05,10
OI000243,O00095,P010,1,807.05,20
OI000244,O00095,P004,4,4673.83,0
OI000245,O00095,P009,3,3999.66,20
OI000246,O00095,P013,3,1344.44,0
OI000247,O00096,P002,2,3760.85,0
OI000248,O00096,P018,3,1368.70,0
OI000249,O00096,P013,4,1344.44,20
OI000250,O00096,P018,3,1368.70,20
OI000251,O00097,P005,1,4069.51,5
OI000252,O00098,P011,3,4398.18,20
OI000253,O00098,P005,2,4069.51,10
OI000254,O00098,P017,4,4037.12,10
OI000255,O00099,P002,1,3760.85,0
OI000256,O00100,P016,4,1733.40,0
OI000257,O00100,P020,2,1206.71,0
OI000258,O00100,P020,3,1206.71,0
OI000259,O00101,P020,3,1206.71,10
OI000260,O00101,P011,4,4398.18,15
OI000261,O00101,P019,3,410.22,5
OI000262,O00101,P001,3,415.50,0
OI000263,O00102,P014,3,4136.96,20
OI000264,O00103,P020,4,1206.71,0
OI000265,O00104,P024,1,1610.89,10
OI000266,O00104,P016,2,1733.40,10
OI000267,O00105,P005,2,4069.51,0
OI000268,O00105,P019,1,410.22,0
OI000269,O00105,P001,4,415.50,0
OI000270,O00105,P014,2,4136.96,5
OI000271,O00106,P014,4,4136.96,20
OI000272,O00106,P024,1,1610.89,15
OI000273,O00107,P017,2,4037.12,10
OI000274,O00107,P011,4,4398.18,10
OI000275,O00108,P011,2,4398.18,5
OI000276,O00108,P018,3,1368.70,10
OI000277,O00108,P012,3,4334.39,10
OI000278,O00108,P016,2,1733.40,0
OI000279,O00109,P018,3,1368.70,0
OI000280,O00109,P010,3,807.05,15
OI000281,O00109,P007,4,4109.52,0
OI000282,O00110,P012,3,4334.39,0
OI000283,O00110,P004,4,4673.83,5
OI000284,O00110,P012,2,4334.39,0
OI000285,O00110,P002,3,3760.85,15
OI000286,O00111,P012,4,4334.39,15
OI000287,O00112,P024,4,1610.89,0
OI000288,O00112,P007,3,4109.52,10
OI000289,O00112,P023,3,4843.38,0
OI000290,O00113,P020,2,1206.71,0
OI000291,O00114,P022,2,4361.46,15
OI000292,O00115,P002,1,3760.85,5
OI000293,O00115,P011,4,4398.18,0
OI000294,O00116,P001,2,415.50,5
OI000295,O00116,P021,4,1841.83,5
OI000296,O00117,P025,3,3313.96,0
OI000297,O00117,P010,1,807.05,20
OI000298,O00118,P021,2,1841.83,10
OI000299,O00119,P006,4,4360.10,20
OI000300,O00120,P002,4,3760.85,20
OI000301,O00120,P016,2,1733.40,15
OI000302,O00121,P002,1,3760.85,0
OI000303,O00121,P019,1,410.22,0
OI000304,O00121,P010,4,807.05,15
OI000305,O00122,P005,4,4069.51,0
OI000306,O00122,P007,1,4109.52,0
OI000307,O00122,P006,4,4360.10,15
OI000308,O00122,P009,2,3999.66,0
OI000309,O00123,P010,2,807.05,0
OI000310,O00123,P020,4,1206.71,20
OI000311,O00123,P014,3,4136.96,0
OI000312,O00124,P022,1,4361.46,0
OI000313,O00124,P005,4,4069.51,0
OI000314,O00124,P008,1,1552.99,0
OI000315,O00124,P013,2,1344.44,5
OI000316,O00125,P011,3,4398.18,10
OI000317,O00125,P024,1,1610.89,0
OI000318,O00125,P021,3,1841.83,15
OI000319,O00126,P002,1,3760.85,5
OI000320,O00126,P010,2,807.05,5
OI000321,O00127,P023,1,4843.38,15
OI000322,O00127,P010,3,807.05,10
OI000323,O00127,P008,2,1552.99,0
OI000324,O00128,P005,4,4069.51,15
OI000325,O00128,P020,3,1206.71,5
OI000326,O00128,P023,4,4843.38,20
OI000327,O00128,P018,2,1368.70,20
OI000328,O00129,P022,1,4361.46,10
OI000329,O00129,P015,3,2462.43,0
OI000330,O00130,P002,2,3760.85,10
OI000331,O00131,P006,3,4360.10,20
OI000332,O00131,P017,4,4037.12,0
OI000333,O00132,P023,4,4843.38,0
OI000334,O00132,P017,4,4037.12,20
OI000335,O00133,P015,2,2462.43,10
OI000336,O00134,P015,1,2462.43,10
OI000337,O00134,P015,3,2462.43,15
OI000338,O00134,P001,4,415.50,0
OI000339,O00134,P001,2,415.50,10
OI000340,O00135,P002,4,3760.85,0
OI000341,O00136,P018,1,1368.70,0
OI000342,O00137,P002,3,3760.85,5
OI000343,O00137,P006,2,4360.10,20
OI000344,O00137,P021,4,1841.83,0
OI000345,O00137,P013,4,1344.44,20
OI000346,O00138,P013,1,1344.44,15
OI000347,O00138,P022,2,4361.46,15
OI000348,O00138,P012,1,4334.39,0
OI000349,O00138,P018,4,1368.70,10
OI000350,O00139,P024,2,1610.89,20
OI000351,O00139,P001,1,415.50,0
OI000352,O00140,P022,4,4361.46,10
OI000353,O00140,P013,2,1344.44,0
OI000354,O00140,P015,3,2462.43,0
OI000355,O00140,P009,2,3999.66,15
OI000356,O00141,P002,4,3760.85,10
OI000357,O00142,P008,2,1552.99,0
OI000358,O00143,P020,1,1206.71,5
OI000359,O00144,P008,1,1552.99,5
OI000360,O00145,P008,2,1552.99,20
OI000361,O00145,P025,1,3313.96,0
OI000362,O00145,P017,3,4037.12,0
OI000363,O00145,P024,3,1610.89,10
OI000364,O00146,P008,3,1552.99,0
OI000365,O00146,P022,2,4361.46,5
OI000366,O00146,P010,3,807.05,0
OI000367,O00147,P021,4,1841.83,10
OI000368,O00147,P016,1,1733.40,0
OI000369,O00148,P017,3,4037.12,15
OI000370,O00148,P014,4,4136.96,0
OI000371,O00148,P010,4,807.05,0
OI000372,O00148,P025,4,3313.96,0
OI000373,O00149,P010,2,807.05,20
OI000374,O00149,P015,1,2462.43,10
OI000375,O00150,P014,2,4136.96,5
OI000376,O00150,P008,3,1552.99,0
OI000377,O00150,P011,1,4398.18,5
OI000378,O00150,P012,1,4334.39,10
OI000379,O00151,P002,3,3760.85,5
OI000380,O00151,P022,1,4361.46,20
OI000381,O00152,P007,2,4109.52,5
OI000382,O00153,P011,3,4398.18,0
OI000383,O00153,P007,2,4109.52,15
OI000384,O00154,P024,4,1610.89,0
OI000385,O00155,P013,2,1344.44,10
OI000386,O00155,P011,3,4398.18,5
OI000387,O00156,P018,3,1368.70,0
OI000388,O00156,P009,3,3999.66,10
OI000389,O00156,P016,4,1733.40,0
OI000390,O00156,P024,4,1610.89,20
OI000391,O00157,P007,3,4109.52,0
OI000392,O00157,P014,1,4136.96,10
OI000393,O00157,P008,2,1552.99,0
OI000394,O00158,P018,4,1368.70,0
OI000395,O00158,P005,2,4069.51,0
OI000396,O00158,P008,4,1552.99,10
OI000397,O00159,P016,3,1733.40,0
OI000398,O00159,P025,4,3313.96,15
OI000399,O00160,P015,2,2462.43,15
OI000400,O00160,P012,2,4334.39,0
OI000401,O00160,P024,4,1610.89,0
OI000402,O00160,P018,1,1368.70,10
OI000403,O00161,P003,1,1860.27,20
OI000404,O00162,P014,2,4136.96,20
OI000405,O00163,P003,2,1860.27,0
OI000406,O00163,P007,4,4109.52,0
OI000407,O00164,P020,4,1206.71,15
OI000408,O00165,P001,1,415.50,10
OI000409,O00165,P018,4,1368.70,0
OI000410,O00165,P001,3,415.50,10
OI000411,O00165,P010,1,807.05,10
OI000412,O00166,P006,1,4360.10,0
OI000413,O00166,P017,2,4037.12,0
OI000414,O00166,P007,3,4109.52,20
OI000415,O00166,P012,3,4334.39,20
OI000416,O00167,P003,3,1860.27,5
OI000417,O00167,P015,2,2462.43,15
OI000418,O00167,P008,3,1552.99,15
OI000419,O00167,P003,1,1860.27,0
OI000420,O00168,P013,4,1344.44,10
OI000421,O00168,P016,1,1733.40,15
OI000422,O00168,P001,2,415.50,0
OI000423,O00168,P016,4,1733.40,15
OI000424,O00169,P019,1,410.22,10
OI000425,O00169,P002,2,3760.85,0
OI000426,O00169,P023,4,4843.38,0
OI000427,O00170,P003,3,1860.27,10
OI000428,O00171,P006,3,4360.10,0
OI000429,O00172,P019,2,410.22,20
OI000430,O00172,P023,4,4843.38,0
OI000431,O00173,P006,2,4360.10,10
OI000432,O00173,P013,3,1344.44,5
OI000433,O00173,P025,2,3313.96,20
OI000434,O00174,P017,3,4037.12,0
OI000435,O00175,P014,2,4136.96,20
OI000436,O00176,P011,4,4398.18,20
OI000437,O00177,P001,3,415.50,20
OI000438,O00177,P015,4,2462.43,0
OI000439,O00177,P012,4,4334.39,5
OI000440,O00178,P022,4,4361.46,0
OI000441,O00178,P025,3,3313.96,20
OI000442,O00179,P023,1,4843.38,0
OI000443,O00179,P009,2,3999.66,5
OI000444,O00180,P024,4,1610.89,0
OI000445,O00180,P012,1,4334.39,0
OI000446,O00181,P010,4,807.05,0
OI000447,O00182,P004,2,4673.83,0
OI000448,O00182,P006,4,4360.10,5
OI000449,O00182,P018,4,1368.70,0
OI000450,O00183,P003,3,1860.27,10
OI000451,O00184,P020,3,1206.71,20
OI000452,O00185,P001,3,415.50,5
OI000453,O00185,P013,1,1344.44,15
OI000454,O00185,P018,2,1368.70,10
OI000455,O00185,P017,2,4037.12,15
OI000456,O00186,P006,2,4360.10,0
OI000457,O00186,P010,3,807.05,5
OI000458,O00186,P005,1,4069.51,0
OI000459,O00186,P014,3,4136.96,5
OI000460,O00187,P016,1,1733.40,0
OI000461,O00187,P009,2,3999.66,15
OI000462,O00187,P021,4,1841.83,10
OI000463,O00188,P015,1,2462.43,0
OI000464,O00188,P010,1,807.05,5
OI000465,O00189,P020,4,1206.71,20
OI000466,O00189,P011,4,4398.18,0
OI000467,O00189,P014,2,4136.96,0
OI000468,O00190,P020,2,1206.71,5
OI000469,O00190,P011,2,4398.18,5
OI000470,O00190,P011,3,4398.18,15
OI000471,O00191,P019,2,410.22,0
OI000472,O00191,P013,3,1344.44,20
OI000473,O00191,P013,3,1344.44,0
OI000474,O00191,P019,2,410.22,10
OI000475,O00192,P022,1,4361.46,15
OI000476,O00192,P015,2,2462.43,5
OI000477,O00193,P023,1,4843.38,20
OI000478,O00193,P014,4,4136.96,0
OI000479,O00193,P021,3,1841.83,0
OI000480,O00194,P022,2,4361.46,15
OI000481,O00194,P014,4,4136.96,0
OI000482,O00194,P015,4,2462.43,10
OI000483,O00195,P018,4,1368.70,10
OI000484,O00195,P002,3,3760.85,15
OI000485,O00195,P018,1,1368.70,0
OI000486,O00195,P025,2,3313.96,15
OI000487,O00196,P006,1,4360.10,10
OI000488,O00196,P021,4,1841.83,20
OI000489,O00196,P011,4,4398.18,0
OI000490,O00197,P004,3,4673.83,0
OI000491,O00198,P015,3,2462.43,5
OI000492,O00198,P015,2,2462.43,0
OI000493,O00199,P016,1,1733.40,0
OI000494,O00200,P003,1,1860.27,20
OI000495,O00200,P024,2,1610.89,0
OI000496,O00200,P010,3,807.05,5
OI000497,O00200,P007,4,4109.52,0
OI000498,O00201,P004,4,4673.83,15
OI000499,O00201,P023,4,4843.38,0
OI000500,O00201,P003,3,1860.27,0
OI000501,O00201,P023,1,4843.38,0
OI000502,O00202,P021,1,1841.83,15
OI000503,O00202,P006,2,4360.10,10
OI000504,O00202,P006,2,4360.10,0
OI000505,O00203,P015,2,2462.43,20
OI000506,O00203,P013,2,1344.44,0
OI000507,O00203,P021,4,1841.83,5
OI000508,O00203,P001,2,415.50,5
OI000509,O00204,P013,1,1344.44,15
OI000510,O00204,P007,2,4109.52,0
OI000511,O00204,P025,1,3313.96,10
OI000512,O00204,P004,2,4673.83,0
OI000513,O00205,P007,4,4109.52,0
OI000514,O00205,P009,4,3999.66,10
OI000515,O00205,P021,3,1841.83,10
OI000516,O00206,P020,4,1206.71,10
OI000517,O00206,P004,3,4673.83,0
OI000518,O00206,P015,2,2462.43,20
OI000519,O00206,P022,3,4361.46,10
OI000520,O00207,P022,2,4361.46,0
OI000521,O00208,P008,3,1552.99,0
OI000522,O00209,P012,2,4334.39,10
OI000523,O00209,P013,4,1344.44,10
OI000524,O00210,P019,4,410.22,5
OI000525,O00210,P006,4,4360.10,15
OI000526,O00211,P018,2,1368.70,5
OI000527,O00211,P010,2,807.05,0
OI000528,O00212,P015,1,2462.43,20
OI000529,O00212,P012,1,4334.39,5
OI000530,O00212,P005,2,4069.51,20
OI000531,O00213,P018,4,1368.70,5
OI000532,O00213,P022,4,4361.46,5
OI000533,O00213,P023,4,4843.38,5
OI000534,O00213,P006,1,4360.10,10
OI000535,O00214,P025,2,3313.96,0
OI000536,O00215,P009,2,3999.66,10
OI000537,O00216,P006,4,4360.10,10
OI000538,O00216,P024,4,1610.89,10
OI000539,O00216,P017,1,4037.12,10
OI000540,O00217,P009,3,3999.66,10
OI000541,O00218,P025,4,3313.96,10
OI000542,O00219,P014,1,4136.96,15
OI000543,O00219,P021,2,1841.83,0
OI000544,O00220,P015,3,2462.43,0
OI000545,O00221,P015,1,2462.43,20
OI000546,O00222,P007,3,4109.52,20
OI000547,O00222,P023,4,4843.38,0
OI000548,O00223,P007,2,4109.52,20
OI000549,O00223,P002,3,3760.85,10
OI000550,O00224,P020,2,1206.71,0
OI000551,O00224,P023,3,4843.38,0
OI000552,O00224,P019,3,410.22,20
OI000553,O00225,P005,4,4069.51,0
OI000554,O00226,P021,2,1841.83,15
OI000555,O00226,P005,2,4069.51,0
OI000556,O00226,P023,3,4843.38,20
OI000557,O00227,P025,4,3313.96,5
OI000558,O00227,P005,3,4069.51,15
OI000559,O00228,P013,4,1344.44,0
OI000560,O00228,P021,1,1841.83,5
OI000561,O00228,P017,3,4037.12,15
OI000562,O00228,P012,4,4334.39,5
OI000563,O00229,P019,1,410.22,20
OI000564,O00229,P025,1,3313.96,15
OI000565,O00229,P015,3,2462.43,20
OI000566,O00230,P018,4,1368.70,0
OI000567,O00231,P007,4,4109.52,0
OI000568,O00231,P011,3,4398.18,0
OI000569,O00231,P018,2,1368.70,10
OI000570,O00231,P016,3,1733.40,15
OI000571,O00232,P002,1,3760.85,15
OI000572,O00233,P001,1,415.50,20
OI000573,O00233,P006,4,4360.10,5
OI000574,O00233,P001,4,415.50,0
OI000575,O00233,P023,2,4843.38,15
OI000576,O00234,P006,3,4360.10,0
OI000577,O00234,P021,3,1841.83,0
OI000578,O00234,P003,3,1860.27,15
OI000579,O00235,P002,4,3760.85,15
OI000580,O00235,P010,2,807.05,5
OI000581,O00236,P023,1,4843.38,0
OI000582,O00237,P016,1,1733.40,0
OI000583,O00237,P019,2,410.22,10
OI000584,O00238,P001,1,415.50,15
OI000585,O00238,P011,1,4398.18,20
OI000586,O00238,P014,2,4136.96,5
OI000587,O00238,P003,2,1860.27,5
OI000588,O00239,P024,1,1610.89,0
OI000589,O00240,P012,3,4334.39,0
OI000590,O00240,P013,2,1344.44,15
OI000591,O00240,P022,2,4361.46,0
OI000592,O00241,P020,2,1206.71,5
OI000593,O00242,P024,2,1610.89,15
OI000594,O00242,P024,2,1610.89,5
OI000595,O00242,P020,4,1206.71,20
OI000596,O00243,P003,1,1860.27,0
OI000597,O00243,P025,1,3313.96,10
OI000598,O00244,P012,4,4334.39,0
OI000599,O00244,P005,2,4069.51,0
OI000600,O00244,P021,1,1841.83,0
OI000601,O00244,P018,3,1368.70,20
OI000602,O00245,P022,3,4361.46,0
OI000603,O00246,P024,4,1610.89,0
OI000604,O00246,P021,1,1841.83,20
OI000605,O00247,P016,4,1733.40,0
OI000606,O00247,P008,4,1552.99,15
OI000607,O00248,P017,1,4037.12,0
OI000608,O00249,P005,4,4069.51,20
OI000609,O00249,P019,4,410.22,0
OI000610,O00249,P018,2,1368.70,20
OI000611,O00250,P025,1,3313.96,0
OI000612,O00250,P019,1,410.22,0
OI000613,O00250,P009,2,3999.66,0
OI000614,O00250,P002,4,3760.85,10
OI000026,O00010,P012,3,4334.39,0
